est	obs	kind
75.0	75	est/obs
114.844321251	116	est/obs
65.5983009338	61	est/obs
126.369981766	81	est/obs
63.3530788422	69	est/obs
62.8290615082	78	est/obs
52.8013553619	73	est/obs
29.6233863831	66	est/obs
31.2474861145	59	est/obs
32.9293327332	65	est/obs
119.0	119	est/obs
48.0	48	est/obs
120.0	120	est/obs
96.0	96	est/obs
120.0	120	est/obs
36.0	36	est/obs
34.0	34	est/obs
60.4041996002	72	est/obs
54.6612577438	69	est/obs
85.6719245911	65	est/obs
40.4348945618	69	est/obs
36.1287117004	71	est/obs
42.1135215759	66	est/obs
41.9052314758	66	est/obs
33.9241676331	59	est/obs
44.2822380066	57	est/obs
31.0	31	est/obs
34.0	34	est/obs
34.0	34	est/obs
34.0	34	est/obs
30.5759468079	59	est/obs
34.6158943176	58	est/obs
6.06880187988	31	est/obs
76.0	76	est/obs
32.0	32	est/obs
63.0	63	est/obs
3.46505641937	46	est/obs
57.3945922852	58	est/obs
63.7547245026	32	est/obs
69.2678012848	34	est/obs
114.774404526	58	est/obs
35.250667572	32	est/obs
59.5598602295	48	est/obs
61.0024261475	33	est/obs
69.2892360687	47	est/obs
7.67054176331	44	est/obs
59.7790050507	65	est/obs
117.812916756	85	est/obs
37.3493871689	46	est/obs
188.498877525	62	est/obs
159.120629311	66	est/obs
187.118187904	59	est/obs
103.930947304	32	est/obs
147.107405663	37	est/obs
31.3213605881	40	est/obs
135.937520027	93	est/obs
118.617110252	30	est/obs
58.8516530991	30	est/obs
106.674613953	39	est/obs
182.68789959	69	est/obs
180.71243763	60	est/obs
228.535962105	72	est/obs
589.229979515	283	est/obs
623.59946537	212	est/obs
135.527641296	60	est/obs
54.5295820236	35	est/obs
164.377879143	59	est/obs
294.25225544	96	est/obs
240.719466209	128	est/obs
305.800023079	88	est/obs
156.391978264	67	est/obs
95.4448671341	59	est/obs
235.52628994	89	est/obs
492.284817696	240	est/obs
283.90070343	78	est/obs
83.6386528015	32	est/obs
57.941493988	44	est/obs
185.590979576	73	est/obs
97.1514892578	48	est/obs
230.831105232	53	est/obs
476.624785423	252	est/obs
242.327059746	98	est/obs
65.2088603973	48	est/obs
44.4097290039	37	est/obs
